/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
10,Process,3210-14,Train 1,LSU-CC-P-54,3210-14-01,3211-PU-065,Pebble Transfer Bin and Crushing Areas Sump Pumps ,,,,0,,,,,PIL(MCC15),,,,,PR2ME-PIL-QTY-50-HOP-SP-3210-14-01,,,,,,A - Proceed,2026/4/15,,,Partial,2026/4/15,Partial,2026/4/15,TRUE,3210-14-01,,PR2ME-PIL-QTY-50-HOP-SP-3210-14-01,,TRUE,TRUE,TRUE,,,,
11,Process,3210-13,BOP,LSU-CC-P-54,3210-13-07,3213-ME-806,Pebble Crusher 8 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-13-07,,,,,A - Proceed,2026/4/8,,,,,Partial,2026/4/8,Partial,2026/4/8,TRUE,3210-13-07,PR2ME-PIL-QTY-59-HOP-3210-13-07,,,TRUE,TRUE,TRUE,,,,
12,Process,3210-13,BOP,LSU-CC-P-54,3210-13-06,3213-AX-801/802,Pebble Crusher 8 Lube Air Cooled Exchanger 1 & 2,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-13-06,,,,,A - Proceed,2026/4/15,,,,,Partial,2026/4/15,Partial,2026/4/15,TRUE,3210-13-06,PR2ME-PIL-QTY-59-HOP-3210-13-06,,,TRUE,TRUE,TRUE,,,,
13,Process,3210-13,BOP,LSU-CC-P-54,3210-13-05,3213-HO-801,Pebble Crusher 8 Discharge Hopper,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-13-05,,,,,Issued for Review / Approval,2026/4/19,,,,,,,,,TRUE,3210-13-05,PR2ME-PIL-QTY-59-HOP-3210-13-05,,,TRUE,TRUE,TRUE,,,,
14,Process,3210-13,BOP,LSU-CC-P-54,3210-13-04,3213-LU-801,Pebble Crusher 8 Lubrication Package,,,,0,,,,,PIL(MCC15),,,,,PR2ME-PIL-QTY-50-HOP-LOL-3210-13-04,,,,,,A - Proceed,2026/4/17,,,Partial,2026/4/17,Partial,2026/4/17,TRUE,3210-13-04,,PR2ME-PIL-QTY-50-HOP-LOL-3210-13-04,,TRUE,TRUE,TRUE,,,,
15,Process,3210-13,BOP,LSU-CC-P-54,3210-13-03,3213-HP-801,Pebble Crusher 8 Hydraulic Power Unit,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-13-03,,,,TRUE,TRUE,TRUE,,,,
16,Process,3210-13,BOP,LSU-CC-P-54,3210-13-02,3213-BL-801,Pebble Crusher Countershaft Box Blower & Filter,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-13-02,,,,TRUE,TRUE,TRUE,,,,
17,Process,3210-13,BOP,LSU-CC-P-54,3210-13-01,3213-CR-801,Pebble Crusher 8,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-13-01,,,,TRUE,TRUE,TRUE,,,,
18,Process,3210-12,BOP,LSU-CC-P-54,3210-12-04,3213-ME-801-M1/M2,Pebble Crusher 8 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-12-04,,,,TRUE,TRUE,TRUE,,,,
19,Process,3210-12,BOP,LSU-CC-P-54,3210-12-03,3213-MD-801,Pebble Crusher 8 Feeder Metal Detector,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-12-03,,,,,Issued for Review / Approval,2026/3/3,,,,,,,,,TRUE,3210-12-03,PR2ME-PIL-QTY-59-HOP-3210-12-03,,,TRUE,TRUE,TRUE,,,,
